,word,word_count
0,car,3899
1,i,3119
2,'s,2500
3,c,2036
4,bmw,1948
5,tl,1843
6,like,1789
7,one,1562
8,would,1432
9,g35,1346
10,get,1294
11,think,1215
12,better,979
13,drive,967
14,3,959
15,'m,931
16,performance,925
17,new,918
18,much,914
19,a,861
20,people,860
21,even,854
22,good,829
23,really,764
24,know,741
25,driving,739
26,well,730
27,best,727
28,also,724
29,want,706
30,luxury,702
31,sedan,702
32,rwd,680
33,s,650
34,say,638
35,that,635
36,still,630
37,330i,629
38,b,628
39,engine,625
40,time,593
41,way,577
42,series,573
43,the,567
44,make,566
45,fwd,562
46,see,555
47,price,550
48,acura,541
49,'ve,535
50,buy,535
51,awd,529
52,g,528
53,great,524
54,go,524
55,handling,511
56,many,511
57,power,506
58,interior,505
59,test,504
60,could,503
61,hp,492
62,manual,482
63,going,479
64,lexus,478
65,n't,476
66,'d,472
67,look,469
68,infiniti,468
69,back,468
70,years,466
71,h,457
72,less,454
73,tires,445
74,got,439
75,right,434
76,take,429
77,'ll,422
78,two,419
79,said,413
80,feel,412
81,may,410
82,sales,409
83,ca,406
84,never,403
85,sport,398
86,point,398
87,it,397
88,sure,380
89,audi,377
90,different,377
91,2,376
92,little,372
93,need,367
94,thing,365
95,year,364
96,torque,364
97,around,361
98,lot,358
99,cts,356
100,5,354
101,class,352
102,road,349
103,something,336
104,maybe,336
105,looking,329
106,every,329
107,since,326
108,first,319
109,another,318
110,coupe,316
111,fun,316
112,difference,315
113,getting,315
114,nice,313
115,probably,312
116,believe,310
117,etc,306
118,package,303
119,last,303
120,mb,301
121,us,301
122,value,301
123,mph,300
124,actually,298
125,vehicle,298
126,1,297
127,6,294
128,snow,294
129,p,294
130,speed,291
131,agree,288
132,makes,288
133,v,287
134,auto,281
135,driven,281
136,long,280
137,they,277
138,though,276
139,gas,276
140,325i,274
141,fact,273
142,is300,270
143,without,269
144,looks,268
145,money,268
146,big,268
147,yes,267
148,drove,266
149,there,266
150,far,266
151,top,265
152,4,264
153,always,263
154,pretty,263
155,love,263
156,find,263
157,vs,262
158,numbers,262
159,made,261
160,old,261
161,enough,261
162,guess,260
163,either,258
164,bad,258
165,reliability,255
166,front,254
167,driver,254
168,toyota,254
169,things,254
170,'re,253
171,used,253
172,might,251
173,miles,249
174,seems,248
175,others,247
176,anything,247
177,brand,247
178,330,247
179,060,246
180,ever,244
181,n,244
182,xtype,243
183,honda,243
184,ride,241
185,come,241
186,nothing,240
187,hard,238
188,',238
189,real,238
190,least,237
191,high,237
192,let,236
193,almost,233
194,put,233
195,sports,230
196,system,229
197,nissan,228
198,read,227
199,regards,227
200,bit,226
201,30,225
202,give,225
203,course,225
204,yet,224
205,keep,223
206,automatic,223
207,anyone,223
208,next,222
209,steering,222
210,however,220
211,vehicles,220
212,experience,219
213,mileage,216
214,end,214
215,if,212
216,saab,212
217,quality,211
218,mpg,211
219,transmission,209
220,quite,209
221,opinion,208
222,seat,208
223,line,207
224,else,205
225,problem,205
226,level,205
227,based,205
228,world,204
229,cost,204
230,day,204
231,dealer,204
232,v6,203
233,you,202
234,bought,202
235,talking,202
236,thought,201
237,japanese,201
238,and,201
239,dont,200
240,3series,199
241,fast,199
242,use,198
243,we,197
244,shipo,196
245,buying,196
246,post,194
247,mean,194
248,rear,194
249,model,193
250,true,192
251,comes,191
252,wheels,190
253,cd,190
254,market,187
255,comparison,187
256,thanks,186
257,times,186
258,weight,184
259,track,184
260,winter,183
261,entry,182
262,reason,182
263,not,181
264,faster,180
265,discussion,179
266,styling,178
267,worth,177
268,compared,177
269,near,176
270,someone,175
271,what,175
272,close,173
273,choice,173
274,second,173
275,must,173
276,wheel,172
277,work,171
278,wrong,170
279,gets,170
280,features,170
281,care,169
282,everything,169
283,tell,167
284,volvo,167
285,mercedes,166
286,live,166
287,size,165
288,pay,164
289,as,164
290,but,163
291,acceleration,162
292,suspension,159
293,m,159
294,everyone,158
295,g35x,157
296,list,156
297,drivers,156
298,t,156
299,standard,156
300,overall,155
301,matter,155
302,benz,154
303,steer,154
304,2004,154
305,seen,151
306,extra,151
307,mind,151
308,rather,150
309,try,149
310,issue,148
311,seem,148
312,subaru,147
313,small,146
314,compare,145
315,ctsv,145
316,done,144
317,set,144
318,especially,144
319,wife,143
320,found,143
321,design,143
322,low,142
323,fuel,142
324,category,141
325,trying,141
326,msrp,141
327,unless,141
328,simply,140
329,so,140
330,expensive,140
331,saying,140
332,325,140
333,10,139
334,premium,139
335,60,139
336,7,138
337,american,136
338,oh,136
339,number,136
340,fine,136
341,wanted,136
342,change,136
343,felt,135
344,available,134
345,away,134
346,highway,134
347,enjoy,133
348,consider,133
349,interesting,133
350,part,133
351,cr,133
352,sold,132
353,owners,132
354,board,132
355,higher,132
356,deal,132
357,understand,131
358,safety,131
359,is350,131
360,ago,129
361,engines,129
362,sorry,129
363,side,129
364,leather,128
365,in,128
366,sell,127
367,yeah,126
368,needs,125
369,question,125
370,tranny,125
371,options,125
372,already,124
373,add,124
374,although,124
375,came,124
376,models,123
377,traction,123
378,buyers,122
379,three,122
380,gear,122
381,making,122
382,german,122
383,prefer,121
384,cadillac,121
385,lux,120
386,race,120
387,sti,120
388,days,119
389,hyundai,119
390,owned,118
391,2005,118
392,service,117
393,segment,117
394,check,117
395,place,117
396,important,117
397,comparing,117
398,run,117
399,start,116
400,equipped,116
401,current,116
402,average,116
403,plus,116
404,anyway,115
405,certainly,115
406,given,115
407,volkswagen,115
408,20,115
409,roads,115
410,hope,114
411,jaguar,113
412,imo,113
413,reliable,113
414,300,113
415,beat,112
416,turn,112
417,type,111
418,whole,111
419,btw,111
420,30k,111
421,e90,111
422,style,110
423,heard,110
424,93,110
425,month,109
426,traffic,109
427,bimmer,109
428,remember,109
429,version,108
430,definitely,108
431,turbo,108
432,f,107
433,lease,107
434,exterior,106
435,drives,106
436,guys,106
437,went,106
438,units,106
439,stop,105
440,thinking,105
441,happy,105
442,similar,105
443,cars,104
444,loaded,104
445,factor,104
446,street,104
